Waktu pengosongan,Voltage,Current,Temperature,Capacity,SOH,Combined,RUL
3.025,4.17806,5.0,23.87099,"-0,00253",100.0,302.5,96.0
6.025,4.17436,5.0,24.18646,"-0,00507",99.46970684039084,599.3049837133549,95.89968652037618
9.025,4.17115,5.0,24.39678,"-0,00761",99.009641693811,893.5620162866444,95.79937304075236
12.025,4.16795,5.0,23.97615,"-0,01015",98.55100977198697,1185.0758925081434,95.69905956112852
15.025,4.16509,5.0,23.87099,"-0,01269",98.14110749185664,1474.570140065146,95.5987460815047
18.025,4.16222,5.0,24.18646,"-0,01522",97.72977198697059,1761.5791400651447,95.49843260188088
21.025,4.15969,5.0,24.29162,"-0,01776",97.3671661237785,2047.144667752443,95.39811912225706
24.025,4.157,5.0,23.97615,"-0,0203",96.98162866449506,2329.9836286644936,95.29780564263324
27.025,4.1543,5.0,23.76583,"-0,02283",96.59465798045599,2610.470631921823,95.1974921630094
30.025,4.15194,5.0,24.0813,"-0,02537",96.25641693811066,2890.0989185667727,95.09717868338558
33.025,4.14958,5.0,24.18646,"-0,02791",95.91817589576547,3167.6977589576545,94.99686520376176
36.025,4.14722,5.0,24.18646,"-0,03044",95.57993485342014,3443.2671530944604,94.89655172413794
39.025,4.14503,5.0,24.18646,"-0,03298",95.26605863192182,3717.757938110749,94.7962382445141
42.025,4.143,5.0,23.97615,"-0,03552",94.97511400651459,3991.3291661237754,94.69592476489028
45.025,4.14098,5.0,23.87099,"-0,03805",94.68560260586314,4263.219257328988,94.59561128526646
48.025,4.13879,5.0,23.97615,"-0,04058",94.3717263843648,4532.20215960912,94.49529780564264
51.025,4.13677,5.0,24.0813,"-0,04312",94.08221498371336,4800.5450195439735,94.39498432601881
54.025,4.13491,5.0,24.29162,"-0,04566",93.815635179153,5068.389690553741,94.29467084639498
57.025,4.13306,5.0,24.18646,"-0,04819",93.55048859934854,5334.716612377851,94.19435736677116
60.025,4.13121,5.0,24.18646,"-0,05072",93.28534201954396,5599.452654723126,94.09404388714734
63.025,4.12952,5.0,24.0813,"-0,05326",93.04312703583062,5864.043081433225,93.99373040752351
66.025,4.12783,5.0,23.97615,"-0,0558",92.80091205211727,6127.180218241043,93.8934169278997
69.025,4.12615,5.0,23.97615,"-0,05833",92.56013029315956,6388.962993485339,93.79310344827586
72.025,4.12446,5.0,24.0813,"-0,06087",92.31791530944622,6649.197850162865,93.69278996865204
75.025,4.12295,5.0,24.0813,"-0,06341",92.10149837133551,6909.914915309447,93.59247648902821
78.025,4.12143,5.0,24.0813,"-0,06594",91.88364820846904,7169.221651465798,93.4921630094044
81.025,4.11991,5.0,24.18646,"-0,06848",91.66579804560256,7427.221286644948,93.39184952978056
84.025,4.11856,5.0,24.0813,"-0,07101",91.47231270358309,7685.9610749185695,93.29153605015674
87.025,4.11722,5.0,24.0813,"-0,07355",91.28026058631913,7943.664677524423,93.19122257053291
90.025,4.11587,5.0,23.97615,"-0,07609",91.08677524429966,8200.086941368078,93.0909090909091
93.025,4.11452,5.0,24.0813,"-0,07863",90.89328990228006,8455.348293159603,92.99059561128527
96.025,4.11317,5.0,24.0813,"-0,08117",90.69980456026057,8709.448732899022,92.89028213166144
99.025,4.11199,5.0,24.0813,"-0,0837",90.53068403908784,8964.800986970675,92.78996865203762
102.025,4.11081,5.0,24.0813,"-0,08624",90.36156351791524,9219.138517915304,92.6896551724138
105.025,4.10963,5.0,24.18646,"-0,08877",90.19244299674264,9472.461325732897,92.58934169278997
108.025,4.10862,5.0,23.97615,"-0,09131",90.04768729641692,9727.40142019544,92.48902821316615
111.025,4.10744,5.0,24.0813,"-0,09385",89.87856677524432,9978.767876221502,92.38871473354232
114.025,4.10643,5.0,24.0813,"-0,09638",89.73381107491846,10231.897807817579,92.2884012539185
117.025,4.10525,5.0,23.97615,"-0,09892",89.56469055374586,10481.30791205211,92.18808777429467
120.025,4.10424,5.0,24.0813,"-0,10145",89.41993485342014,10732.627680781754,92.08777429467085
123.025,4.10322,5.0,24.0813,"-0,10399",89.27374592833877,10982.902592833878,91.98746081504703
126.025,4.10238,5.0,24.0813,"-0,10652",89.15335504885992,11235.551570032572,91.8871473354232
129.025,4.10137,5.0,24.0813,"-0,10906",89.00859934853419,11484.334530944625,91.78683385579937
132.025,4.10053,5.0,24.0813,"-0,11159",88.88820846905534,11735.465723127032,91.68652037617555
135.025,4.09969,5.0,24.0813,"-0,11413",88.76781758957648,11985.874570032565,91.58620689655173
138.025,4.09884,5.0,24.18646,"-0,11666",88.64599348534198,12235.363250814327,91.4858934169279
141.025,4.098,5.0,24.0813,"-0,1192",88.52560260586314,12484.32310749185,91.38557993730407
144.025,4.09716,5.0,24.0813,"-0,12174",88.40521172638428,12732.560618892496,91.28526645768025
147.025,4.09631,5.0,24.0813,"-0,12427",88.28338762214977,12979.86506514657,91.18495297805643
150.025,4.09564,5.0,24.0813,"-0,1268",88.18736156351792,13230.308918566778,91.08463949843261
153.025,4.09497,5.0,24.18646,"-0,12934",88.09133550488596,13480.176615635175,90.98432601880877
156.025,4.09412,5.0,23.97615,"-0,13187",87.96951140065146,13725.443016286645,90.88401253918495
159.025,4.09345,5.0,23.87099,"-0,1344",87.87348534201948,13974.081006514649,90.78369905956113
162.025,4.09277,5.0,24.0813,"-0,13694",87.77602605863186,14221.910622149828,90.68338557993731
165.025,4.0921,5.0,24.18646,"-0,13947",87.68,14469.392000000002,90.58307210031347
168.025,4.09143,5.0,24.29162,"-0,14201",87.58397394136801,14716.297221498362,90.48275862068965
171.025,4.09075,5.0,24.0813,"-0,14454",87.4865146579804,14962.381169381097,90.38244514106583
174.025,4.09025,5.0,23.97615,"-0,14708",87.41485342019541,15212.369866449508,90.28213166144201
177.025,4.08974,5.0,24.0813,"-0,14961",87.34175895765468,15461.67487947882,90.18181818181819
180.025,4.08907,5.0,24.18646,"-0,15215",87.24573289902283,15706.413065146584,90.08150470219435
183.025,4.08839,5.0,24.0813,"-0,15469",87.1482736156352,15950.312778501633,89.98119122257053
186.025,4.08789,5.0,23.97615,"-0,15722",87.0766123778501,16198.426817589565,89.88087774294671
189.025,4.08721,5.0,23.97615,"-0,15976",86.97915309446248,16441.23441368077,89.78056426332289
192.025,4.08671,5.0,24.0813,"-0,1623",86.9074918566775,16688.411123778496,89.68025078369907
195.025,4.08637,5.0,24.18646,"-0,16483",86.85876221498361,16939.63010097718,89.57993730407523
198.025,4.08586,5.0,24.0813,"-0,16737",86.785667752443,17185.731856677525,89.47962382445141
201.025,4.08536,5.0,24.0813,"-0,1699",86.7140065146579,17431.683159609103,89.37931034482759
204.025,4.08485,5.0,23.97615,"-0,17244",86.64091205211727,17676.912081433227,89.27899686520377
207.025,4.08435,5.0,23.87099,"-0,17498",86.56925081433216,17921.999149837116,89.17868338557994
210.025,4.08384,5.0,24.0813,"-0,17752",86.49615635179154,18166.355237785017,89.07836990595611
213.025,4.0835,5.0,24.18646,"-0,18005",86.44742671009767,18415.463074918556,88.97805642633229
216.025,4.08317,5.0,24.18646,"-0,18258",86.40013029315956,18664.588146579794,88.87774294670847
219.025,4.08266,5.0,24.0813,"-0,18512",86.32703583061883,18907.77902280129,88.77742946708464
222.025,4.08232,5.0,24.0813,"-0,18765",86.27830618892506,19155.940931596087,88.67711598746081
225.025,4.08182,5.0,24.0813,"-0,19019",86.20664495113996,19398.65028013027,88.57680250783699
228.025,4.08148,5.0,24.0813,"-0,19273",86.15791530944622,19646.158638436475,88.47648902821317
231.025,4.08114,5.0,24.0813,"-0,19526",86.10918566775247,19893.374618892514,88.37617554858934
234.025,4.08064,5.0,24.0813,"-0,1978",86.03752442996736,20134.931654723114,88.27586206896552
237.025,4.0803,5.0,24.0813,"-0,20034",85.98879478827361,20381.494084690552,88.17554858934169
240.025,4.07996,5.0,24.0813,"-0,20287",85.94006514657974,20627.764136807804,88.07523510971787
243.025,4.07963,5.0,24.0813,"-0,20541",85.89276872964165,20874.090120521163,87.97492163009404
246.025,4.07929,5.0,23.97615,"-0,20794",85.84403908794788,21119.77971661238,87.87460815047022
249.025,4.07895,5.0,23.97615,"-0,21048",85.79530944625401,21365.176934853404,87.77429467084639
252.025,4.07862,5.0,23.97615,"-0,21302",85.74801302931591,21610.642983713344,87.67398119122257
255.025,4.07828,5.0,24.0813,"-0,21556",85.69928338762216,21855.459745928343,87.57366771159874
258.025,4.07794,5.0,24.0813,"-0,21809",85.65055374592828,22099.98413029314,87.47335423197492
261.025,4.07777,5.0,23.97615,"-0,22063",85.62618892508141,22350.575964169373,87.3730407523511
264.025,4.07744,5.0,24.0813,"-0,22317",85.57889250814331,22594.967094462536,87.27272727272728
267.025,4.07727,5.0,24.0813,"-0,2257",85.55452768729643,22845.197755700327,87.17241379310344
270.025,4.07693,5.0,24.0813,"-0,22824",85.50579804560256,23088.70311726383,87.07210031347962
273.025,4.07659,5.0,23.97615,"-0,23077",85.4570684039088,23331.9161009772,86.9717868338558
276.025,4.07626,5.0,23.97615,"-0,23331",85.40977198697071,23575.23231270359,86.87147335423198
279.025,4.07609,5.0,24.18646,"-0,23584",85.38540716612371,23824.663234527667,86.77115987460814
