Waktu pengosongan,Voltage,Current,Temperature,Unnamed: 4,SOH,Combined,RUL
2.025,4.17604,5.0,23.97615,,100.0,202.5,96.0
5.025,4.17301,5.0,23.97615,,99.57577428935078,500.3682658039877,95.89053591790194
8.025,4.17014,5.0,23.97615,,99.17394993635972,795.8709482392868,95.78107183580387
11.025,4.16761,5.0,23.76583,,98.81972846839194,1089.487506364021,95.67160775370581
14.025,4.16509,5.0,23.66067,,98.46690708527785,1380.9983718710218,95.56214367160776
17.025,4.16273,5.0,23.76583,,98.13648705982172,1670.7736921934645,95.45267958950969
20.025,4.16053,5.0,23.76583,,97.82846839202365,1959.0150795502734,95.34321550741163
23.025,4.15834,5.0,23.97615,,97.52184980907927,2245.44059185405,95.23375142531357
26.025,4.15632,5.0,23.87099,,97.23903266864653,2530.645825201526,95.12428734321551
29.025,4.1543,5.0,23.76583,,96.95621552821378,2814.1541557064047,95.01482326111744
32.025,4.15244,5.0,23.76583,,96.6957997454391,3096.682986847687,94.90535917901938
35.025,4.15042,5.0,23.76583,,96.41298260500638,3376.8647157403484,94.79589509692133
38.025,4.14857,5.0,23.87099,,96.15396690708526,3656.254591641917,94.68643101482326
41.025,4.14688,5.0,23.87099,,95.91735256682223,3935.009389053882,94.5769669327252
44.025,4.14503,5.0,23.87099,,95.65833686890113,4211.358280653372,94.46750285062714
47.025,4.14334,5.0,23.87099,,95.42172252863809,4487.206501909206,94.35803876852907
50.025,4.14166,5.0,23.76583,,95.1865082732286,4761.70507636826,94.24857468643101
53.025,4.14014,5.0,23.76583,,94.9736953754772,5035.980197284679,94.13911060433296
56.025,4.13845,5.0,23.87099,,94.73708103521416,5307.644964997873,94.0296465222349
59.025,4.13694,5.0,23.87099,,94.52566822231647,5579.37756682223,93.92018244013683
62.025,4.13542,5.0,23.87099,,94.31285532456505,5849.754851506147,93.81071835803877
65.025,4.13407,5.0,23.87099,,94.12384386932541,6120.402947602885,93.70125427594071
68.025,4.13255,5.0,23.87099,,93.91103097157401,6388.297881841322,93.59179019384264
71.025,4.13121,5.0,23.76583,,93.72341960118794,6656.705877174374,93.48232611174458
74.025,4.12986,5.0,23.87099,,93.53440814594816,6923.884563003813,93.37286202964653
